method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
combined,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,Align Glued,Shared Cam,,,,,gsplat,9.333880424499512,0.9716436266899109,0.007177155930548906,1000000,,,,-0.5163004632356628,2930,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_steps15000,,,,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam,bicycle_4_n20_s42_combined_colmapcams_bothpcd_amglobal_glued_default_c0.0_p22000_voxels_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,2930,combined | Align Glued,20.0
combined,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,12.592744827270508,0.6800364255905151,0.16502130031585693,1000000,0.006016999948769808,0.5918000340461731,,-0.18364016013613288,11193,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p33000_voxels_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p33000_voxels_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p33000_voxels_farthestpose_sharedcam_i30_gteval_steps15000,0.5918,0.009894,8,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p33000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p33000_voxels_farthestpose_sharedcam,bicycle_4_n30_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p33000_voxels_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,11193,combined | ,30.0
colmap,40,42,,1994,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,13.919034004211426,0.6599552631378174,0.229066863656044,1000000,0.005003000609576702,0.3116000294685364,,-0.10922992434727821,1994,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.3116,0.017061,18,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_default_farthestpose_sharedcam,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,1994,colmap | ,40.0
combined,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,13.8848876953125,0.5883739590644836,0.17288877069950104,1000000,0.005003000609576702,0.3116000294685364,,-0.09852895917173632,23779,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p44000_voxels_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p44000_voxels_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p44000_voxels_farthestpose_sharedcam_i40_gteval_steps15000,0.3116,0.017061,18,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p44000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p44000_voxels_farthestpose_sharedcam,bicycle_4_n40_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p44000_voxels_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,23779,combined | ,40.0
colmap,50,42,,3071,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,16.712671279907227,0.5908353328704834,0.30026674270629883,1000000,0.002750999992713332,0.189099982380867,,0.026808079068268837,3071,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000,0.1891,0.008857,29,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_default_farthestpose_sharedcam,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,3071,colmap | ,50.0
combined,50,42,0.0,55000,voxels,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,16.115751266479492,0.4924578070640564,0.2421696037054062,1000000,0.002750999992713332,0.189099982380867,,0.04250593743903678,35806,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p55000_voxels_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p55000_voxels_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p55000_voxels_farthestpose_sharedcam_i50_gteval_steps15000,0.1891,0.008857,29,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p55000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p55000_voxels_farthestpose_sharedcam,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p55000_voxels_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,35806,combined | ,50.0
colmap,60,42,,4084,,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,17.369449615478516,0.5414649248123169,0.3308431804180145,1000000,0.003118999535217881,0.1177000105381012,,0.0873271590939895,4084,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000,0.1177,0.009469,35,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_default_farthestpose_sharedcam,bicycle_4_n60_s42_default_farthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,4084,colmap | ,60.0
combined,60,42,0.0,66000,voxels,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,16.94263458251953,0.45412880182266235,0.30666208267211914,1000000,0.003118999535217881,0.1177000105381012,,0.11919337119895038,43473,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p66000_voxels_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p66000_voxels_farthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p66000_voxels_farthestpose_sharedcam_i60_gteval_steps15000,0.1177,0.009469,35,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p66000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p66000_voxels_farthestpose_sharedcam,bicycle_4_n60_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p66000_voxels_farthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,43473,combined | ,60.0
colmap,70,42,,5456,,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,18.045116424560547,0.5140060186386108,0.3602995276451111,1000000,0.00253800000064075,0.10379999130964279,,0.1340153835437916,5456,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000,0.1038,0.008064,41,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_default_farthestpose_sharedcam,bicycle_4_n70_s42_default_farthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,5456,colmap | ,70.0
combined,70,42,0.0,77000,voxels,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,17.649311065673828,0.4240441918373108,0.3372596800327301,1000000,0.00253800000064075,0.10379999130964279,,0.16874405143321375,50273,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p77000_voxels_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p77000_voxels_farthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p77000_voxels_farthestpose_sharedcam_i70_gteval_steps15000,0.1038,0.008064,41,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p77000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p77000_voxels_farthestpose_sharedcam,bicycle_4_n70_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p77000_voxels_farthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,50273,combined | ,70.0
colmap,80,42,,7165,,,,,0,10,farthestpose,80,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,18.049240112304688,0.47952064871788025,0.3430018424987793,1000000,0.0016679998952895403,0.1453000009059906,,0.14526340816608108,7165,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000,0.1453,0.00542,48,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n80_s42_default_farthestpose_sharedcam,bicycle_4_n80_s42_default_farthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,7165,colmap | ,80.0
combined,80,42,0.0,88000,voxels,,,,0,10,farthestpose,80,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,17.600595474243164,0.4077666401863098,0.31053391098976135,1000000,0.0016679998952895403,0.1453000009059906,,0.1622606775371807,60875,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p88000_voxels_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p88000_voxels_farthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p88000_voxels_farthestpose_sharedcam_i80_gteval_steps15000,0.1453,0.00542,48,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p88000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p88000_voxels_farthestpose_sharedcam,bicycle_4_n80_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p88000_voxels_farthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,60875,combined | ,80.0
colmap,100,42,,16687,,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,21.16598129272461,0.37304171919822693,0.47317782044410706,1000000,0.0021039999555796385,0.10689998418092728,,0.3448348745965122,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,16687,colmap | ,100.0
combined,100,42,0.0,110000,voxels,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,21.13430404663086,0.2983313500881195,0.47855526208877563,1000000,0.0021039999555796385,0.10689998418092728,,0.3935104734406524,124233,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p110000_voxels_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p110000_voxels_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p110000_voxels_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,/home/ojab2/work/git/vggt/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p110000_voxels_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p110000_voxels_farthestpose_sharedcam,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p110000_voxels_farthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,124233,combined | ,100.0
vggt,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.348417282104492,0.5425384640693665,0.21487757563591003,1000000,0.025717996060848236,1.3446000814437866,,-0.018578187299285915,22628,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000,1.3446,0.119326,20,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose,bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000_val_step14999.json,22628,vggt | ,20.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,15.931918144226074,0.5182397365570068,0.22469671070575714,1000000,0.019523000344634056,0.9797000288963318,,0.01296878298665897,33886,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000,0.9795,0.090795,30,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose,bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000_val_step14999.json,33886,vggt | ,30.0
vggt,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.378982543945312,0.5115588903427124,0.237630233168602,1000000,0.0186419989913702,0.8855998516082764,,0.032935195925020436,43515,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000,0.8856,0.086546,40,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose/eval_results.json,bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose,bicycle_4_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_steps15000_val_step14999.json,43515,vggt | ,40.0
vggt,50,42,0.0,55000,voxels,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.75465202331543,0.4973156154155731,0.24442508816719055,1000000,0.01934400014579296,0.9197998642921448,,0.05265778256671009,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000,0.9199,0.086453,50,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose/eval_results.json,bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose,bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_steps15000_val_step14999.json,55619,vggt | ,50.0
vggt,60,42,0.0,66000,voxels,,,,0,10,farthestpose,60,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.862531661987305,0.48669061064720154,0.25064411759376526,1000000,0.01655600033700466,0.836899995803833,,0.06485105788576058,67566,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_steps15000,0.8369,0.071063,60,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose/eval_results.json,bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose,bicycle_4_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_steps15000_val_step14999.json,67566,vggt | ,60.0
vggt,70,42,0.0,77000,voxels,,,,0,10,farthestpose,70,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.925048828125,0.49140915274620056,0.254442036151886,1000000,0.01743599958717823,0.9155000448226929,,0.06531710788133163,76966,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_steps15000,0.9155,0.07769,70,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose/eval_results.json,bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose,bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_steps15000_val_step14999.json,76966,vggt | ,70.0
vggt,80,42,0.0,88000,voxels,,,,0,10,farthestpose,80,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.10127067565918,0.4840233027935028,0.26105615496635437,1000000,0.01695599965751171,0.8730999827384949,,0.07700754780518385,90156,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_steps15000,0.873,0.073069,80,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose/eval_results.json,bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose,bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_steps15000_val_step14999.json,90156,vggt | ,80.0
vggt,100,42,0.0,110000,voxels,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.303186416625977,0.48491042852401733,0.27097687125205994,1000000,0.015425998717546463,0.8569999933242798,,0.08600070818900447,107546,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose,bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000_val_step14999.json,107546,vggt | ,100.0
